window_size,shift_step,best_rmse,best_r2,hidden_channels,kernel_size,dropout,lr,batch_size
14,7,0.007005656138062477,0.8266029357910156,16,5,0.2,0.001,32
7,7,0.007258282043039799,0.810440719127655,32,7,0.4,0.001,16
21,3,0.007883955724537373,0.8018075823783875,32,3,0.4,0.0003,32
21,7,0.008043233305215836,0.7753695249557495,128,3,0.1,0.0003,64
3,7,0.008690356276929379,0.7885785698890686,128,3,0.1,0.0003,16
3,3,0.00930048618465662,0.7147805690765381,32,3,0.1,0.001,16
7,3,0.009772268123924732,0.7521519660949707,32,3,0.4,0.001,32
3,1,0.02141295187175274,0.3550504446029663,64,7,0.0,0.001,64
7,1,0.02155558578670025,0.3525571823120117,16,7,0.1,0.0003,16
14,1,0.021749347448349,0.3527844548225403,16,7,0.1,0.0003,64
21,1,0.021809227764606476,0.35858285427093506,128,3,0.2,0.0003,32
14,3,0.0351625457406044,0.16471850872039795,128,7,0.1,0.001,32
