Segment,MAE,MSE,Max Error,MAPE,R2
"W7, S1",,,,,
Train,0.0093,0.0007,0.6949,0.2243,0.33
Val,0.0099,0.0007,0.5343,0.1538,0.29
Test,0.0071,0.0005,0.3665,0.1232,0.34
Naive,,,,,-0.23
,,,,,
"W7, S2",,,,,
Train,0.0085,0.0005,0.4967,0.2175,0.40
Val,0.0103,0.0010,0.5324,0.1524,0.20
Test,0.0051,0.0001,0.0618,0.1017,0.78
Naive,,,,,-1.64
,,,,,
"W7, S3",,,,,
Train,0.0103,0.0010,0.6882,0.2411,0.27
Val,0.0109,0.0006,0.2747,0.1628,0.29
Test,0.0065,0.0001,0.0786,0.1238,0.67
Naive,,,,,0.66
,,,,,
"W7, S4",,,,,
Train,0.0086,0.0004,0.4675,0.2228,0.41
Val,0.0114,0.0018,0.5351,0.1394,0.09
Test,0.0058,0.0001,0.0420,0.1054,0.74
Naive,,,,,-3.99
,,,,,
"W7, S5",,,,,
Train,0.0094,0.0002,0.2026,0.2502,0.45
Val,0.0101,0.0003,0.1022,0.1589,0.37
Test,0.0073,0.0001,0.0418,0.1391,0.54
Naive,,,,,0.35
,,,,,
"W7, S6",,,,,
Train,0.0095,0.0002,0.0709,0.2534,0.51
Val,0.0102,0.0003,0.0709,0.1709,0.40
Test,0.0081,0.0001,0.0382,0.1555,0.54
Naive,,,,,0.72
,,,,,
"W7, S7",,,,,
Train,0.0096,0.0002,0.0738,0.2714,0.51
Val,0.0119,0.0005,0.1038,0.1690,0.20
Test,0.0075,0.0002,0.0413,0.1348,0.45
Naive,,,,,0.77

"W14, S1",,,,,
Train,0.0092,0.0007,0.6959,0.2231,0.33
Val,0.0096,0.0007,0.5351,0.1474,0.30
Test,0.0066,0.0005,0.3674,0.1095,0.35
Naive,,,,,-0.23
,,,,,
"W14, S2",,,,,
Train,0.0101,0.0008,0.6846,0.2377,0.30
Val,0.0105,0.0006,0.2786,0.1525,0.31
Test,0.0084,0.0009,0.3675,0.1214,0.21
Naive,,,,,0.19
,,,,,
"W14, S3",,,,,
Train,0.0083,0.0002,0.0988,0.2242,0.62
Val,0.0089,0.0003,0.1021,0.1364,0.51
Test,0.0091,0.0013,0.3689,0.1103,0.13
Naive,,,,,0.11
,,,,,
"W14, S4",,,,,
Train,0.0104,0.0007,0.4928,0.2555,0.34
Val,0.0097,0.0003,0.0905,0.1549,0.48
Test,0.0116,0.0017,0.3709,0.1389,0.09
Naive,,,,,0.10
,,,,,
"W14, S5",,,,,
Train,0.0099,0.0011,0.6937,0.2438,0.25
Val,0.0101,0.0003,0.0975,0.1868,0.50
Test,0.0114,0.0020,0.3701,0.1242,0.08
Naive,,,,,0.08
,,,,,
"W14, S6",,,,,
Train,0.0097,0.0002,0.1008,0.2617,0.50
Val,0.0107,0.0004,0.1030,0.1674,0.35
Test,0.0135,0.0025,0.3693,0.1493,0.03
Naive,,,,,0.05
,,,,,
"W14, S7",,,,,
Train,0.0095,0.0002,0.0735,0.2686,0.52
Val,0.0121,0.0005,0.1035,0.1718,0.21
Test,0.0074,0.0001,0.0363,0.1378,0.49
Naive,,,,,0.80
,,,,,
"W14, S14",,,,,
Train,0.0125,0.0003,0.0736,0.3643,0.24
Val,0.0144,0.0007,0.1136,0.1981,-0.07
Test,0.0091,0.0002,0.0436,0.1748,0.21
Naive,,,,,0.76
,,,,,
"W8, S1",,,,,
Train,0.0093,0.0007,0.6956,0.2241,0.33
Val,0.0097,0.0007,0.5343,0.1516,0.30
Test,0.0070,0.0005,0.3664,0.1198,0.34
Naive,,,,,-0.23
,,,,,
"W9, S1",,,,,
Train,0.0092,0.0007,0.7003,0.2230,0.33
Val,0.0095,0.0007,0.5352,0.1450,0.30
Test,0.0066,0.0005,0.3677,0.1111,0.35
Naive,,,,,-0.23
,,,,,
"W10, S1",,,,,
Train,0.0092,0.0007,0.6987,0.2236,0.33
Val,0.0095,0.0007,0.5352,0.1451,0.30
Test,0.0065,0.0005,0.3676,0.1093,0.35
Naive,,,,,-0.23
,,,,,
"W11, S1",,,,,
Train,0.0092,0.0007,0.6982,0.2235,0.33
Val,0.0095,0.0007,0.5351,0.1459,0.30
Test,0.0066,0.0005,0.3673,0.1100,0.35
Naive,,,,,-0.23
,,,,,
"W12, S1",,,,,
Train,0.0092,0.0007,0.6970,0.2234,0.33
Val,0.0096,0.0007,0.5350,0.1477,0.30
Test,0.0066,0.0005,0.3673,0.1094,0.35
Naive,,,,,-0.23
,,,,,
"W13, S1",,,,,
Train,0.0092,0.0007,0.6965,0.2235,0.33
Val,0.0096,0.0007,0.5350,0.1478,0.30
Test,0.0067,0.0005,0.3672,0.1107,0.35
Naive,,,,,-0.23
,,,,,
"W13, S1",,,,,
Train,0.0092,0.0007,0.6965,0.2235,0.33
Val,0.0096,0.0007,0.5350,0.1478,0.30
Test,0.0067,0.0005,0.3672,0.1107,0.35
Naive,,,,,-0.23
,,,,,
