window_size,shift_step,best_rmse,best_r2,channels,kernel_size,dropout,lr,batch_size,fc_hidden,weight_decay,dilation_reset,use_norm
14,7,0.007626028265804052,0.7945334911346436,"(32, 64, 64)",5,0.0,0.003,16,128,0.001,4.0,layer_norm
3,3,0.01047881506383419,0.6379302740097046,"(32, 64, 64)",3,0.4,0.001,32,64,0.0,4.0,layer_norm
21,3,0.011334981769323349,0.5903241634368896,"(32, 64, 128)",7,0.1,0.0003,64,64,1e-06,8.0,layer_norm
21,7,0.012134931981563568,0.48869264125823975,"(32, 32, 64)",2,0.2,0.003,32,32,0.0001,8.0,
3,7,0.012820558622479439,0.5398622751235962,"(16, 16)",7,0.2,0.003,32,128,1e-06,,
7,3,0.013055169023573399,0.5576564073562622,"(64, 64)",2,0.1,0.001,64,128,0.0,4.0,layer_norm
7,7,0.016193317249417305,0.05648458003997803,"(64, 64)",2,0.0,0.001,16,64,1e-05,8.0,
7,1,0.02171933278441429,0.3426833152770996,"(32, 64, 128)",3,0.0,0.001,16,16,1e-05,16.0,layer_norm
3,1,0.021765245124697685,0.3336540460586548,"(32, 32)",3,0.2,0.0001,16,128,0.0,8.0,layer_norm
14,1,0.021866239607334137,0.34580880403518677,"(64, 64, 64)",2,0.4,0.0003,32,128,1e-06,,layer_norm
21,1,0.022222688421607018,0.33403217792510986,"(64, 64)",5,0.3,0.001,16,128,0.0,4.0,layer_norm
14,3,0.03420182317495346,0.20973867177963257,"(64, 64, 64)",5,0.1,0.0003,16,32,1e-05,4.0,batch_norm
