window_size,shift_step,best_iteration,best_score,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,naive_val_rmse,naive_test_rmse,naive_val_r2,naive_test_r2,val_rmse_gain_vs_naive,val_r2_gain_vs_naive
14,7,299,0.00715233339087868,0.007823590970551512,0.007152332859555501,0.01528092619914447,0.8381668307709523,0.8192659525490151,0.6266693835239086,0.007540739028638984,0.011277609055975362,0.7991035044824777,0.7966574235939478,0.00038840616908348245,0.02016244806653744
21,7,299,0.0073454905669623,0.007528716920154642,0.007345490100317183,0.01510194128104532,0.8501622211513604,0.8126519971741051,0.6378249540164713,0.007483314773547883,0.011289418957242966,0.8055555555555555,0.7976066914952074,0.0001378246732307003,0.007096441618549609
7,7,299,0.00752709087215594,0.008082335170779033,0.00752709032156844,0.01572159982432738,0.8272534656523773,0.7961400294487435,0.60215240930881,0.007966275068156916,0.011223258816472981,0.7716566866267465,0.7972498362997797,0.0004391847465884764,0.024483342821997045
3,3,299,0.00766449182272328,0.024608439155039474,0.0076644916101210455,0.037148960057109146,0.4626852283496866,0.8062976389205669,0.1750625510450151,0.03479574401637206,0.03630574329062516,-2.992275122742218,0.21208682412870195,0.027131252406251014,3.798572761662785
21,3,87,0.00959476630404979,0.028175527373993092,0.009594765959377286,0.03922677941621287,0.2985986478011836,0.7064597997139666,0.10113090298886684,0.035618754219847615,0.03675095796564226,-3.045351528594847,0.21101550019968052,0.02602398826047033,3.751811328308814
7,3,298,0.01159446366863588,0.025450343000062867,0.011594463003438134,0.02396411610432508,0.5376173660436274,0.6511039864341833,0.3499492207643118,0.011474609652039005,0.041326156846111656,0.6582798644654315,-0.9331897884710534,-0.0001198533513991299,-0.007175878031248195
3,1,299,0.02152208333047175,0.02380644351559323,0.02152208327907774,0.027361520289418104,0.42075687480436963,0.34845958705802693,0.28328693431026974,0.02958740212727173,0.034252215778169524,-0.23136388616964654,-0.12316151865698499,0.00806531884819399,0.5798234732276735
7,1,283,0.02168622850092059,0.023701568362458608,0.021686228088530848,0.026847450301797318,0.4264347233944541,0.3446849624611923,0.3131235762108159,0.02974284571974208,0.03434670482879959,-0.2326708560742783,-0.12419764564548386,0.008056617631211231,0.5773558185354706
14,1,200,0.02203343896709186,0.024092705539089446,0.02203343985752378,0.027269236686909584,0.40657518581892393,0.3357658980400554,0.2973817322606057,0.029981000631406525,0.034511938790908164,-0.22984054568513757,-0.12541367799668612,0.007947560773882745,0.565606443725193
21,1,203,0.02226009733591669,0.02396820659875947,0.02226009762431952,0.027598328134561284,0.4107072298393677,0.331788430226572,0.2863173548043464,0.03027490326065238,0.03467555862848042,-0.23601969185887484,-0.12664351397488738,0.008014805636332861,0.5678081220854468
14,3,299,0.03542780116965073,0.009843285270810373,0.03542780068146021,0.013202839258403029,0.7582067524322056,0.15206873098762985,0.7000528652173008,0.036315333108804304,0.022454044188484398,0.10905205598436607,0.13244065550066253,0.000887532427344094,0.04301667500326378
